,RunId,iteration,Step,reproduce_prob,growback_factor,Average,Oscillation
154,154,11,13,0.5499999999999999,0.15,210.92307692307693,134.21721750709338
155,155,12,100,0.0,0.15,49.92,0.0
156,156,11,100,0.6,0.15,92.44,74.50407505121163
157,157,12,100,0.0499999999999999,0.15,102.5,8.80804150377571
158,158,12,100,0.0999999999999999,0.15,104.24,12.869257327134594
159,159,12,100,0.15,0.15,98.64,25.59003537267652
160,160,12,100,0.1999999999999999,0.15,93.36,40.89619536019831
161,161,12,100,0.2499999999999999,0.15,99.24,46.41057664649941
162,162,12,100,0.3,0.15,80.98,65.7881515199927
163,163,12,100,0.3999999999999999,0.15,84.82,67.09126472678692
164,164,12,100,0.35,0.15,92.02,65.89543125619879
165,165,12,15,0.4999999999999999,0.15,183.53333333333333,109.5020658434417
166,166,12,100,0.4499999999999999,0.15,85.24,74.55968519243827
167,167,12,73,0.5499999999999999,0.15,42.52,60.249729295860895
168,168,12,14,0.6,0.15,190.92857142857144,145.33061667425204
169,169,13,100,0.0,0.15,53.58,0.0
170,170,13,100,0.0499999999999999,0.15,103.38,7.669101744500185
171,171,13,100,0.0999999999999999,0.15,102.54,13.106382453456607
172,172,13,100,0.15,0.15,90.72,28.847959033985024
173,173,13,100,0.1999999999999999,0.15,95.68,36.59806941137304
174,174,13,100,0.2499999999999999,0.15,77.6,50.79002385797828
175,175,13,100,0.3,0.15,90.46,65.12806387335355
176,176,13,100,0.35,0.15,92.0,49.58692726325164
177,177,13,16,0.4499999999999999,0.15,169.3125,101.81198153767676
178,178,13,100,0.3999999999999999,0.15,79.7,68.84696981920838
179,179,13,13,0.5499999999999999,0.15,200.15384615384616,127.59955463850082
180,180,13,10,0.6,0.15,283.2,141.95124092008788
181,181,13,100,0.4999999999999999,0.15,81.72,63.62652350540676
182,182,14,100,0.0,0.15,48.7,0.0
183,183,14,100,0.0499999999999999,0.15,106.44,7.524751277068911
184,184,14,100,0.0999999999999999,0.15,101.02,15.494248368863708
185,185,14,100,0.15,0.15,97.44,23.664086770567888
186,186,14,100,0.1999999999999999,0.15,101.12,38.60066605527431
187,187,14,100,0.2499999999999999,0.15,89.96,58.00556868415829
188,188,14,100,0.3,0.15,87.66,55.39391052506918
189,189,14,14,0.3999999999999999,0.15,197.07142857142856,104.96123028269488
190,190,14,100,0.35,0.15,91.94,58.04066820626891
191,191,14,100,0.4499999999999999,0.15,88.04,64.70159034121492
192,192,14,100,0.4999999999999999,0.15,96.26,65.80260252014959
193,193,14,14,0.6,0.15,191.92857142857144,129.9244056828496
194,194,14,50,0.5499999999999999,0.15,94.44,77.85083406974633
0,194,0,100,0.0,0.15,48.4,0.0
1,195,0,100,0.0499999999999999,0.15,108.32,7.608726527156503
2,196,0,100,0.0999999999999999,0.15,97.54,20.271617078188985
3,197,0,100,0.15,0.15,96.04,32.3887047703201
4,198,0,100,0.1999999999999999,0.15,96.3,30.02531046347055
5,199,0,100,0.2499999999999999,0.15,90.6,59.88750381887783
6,200,0,100,0.3,0.15,92.36,62.14551161783038
7,201,0,100,0.35,0.15,87.04,88.04176461230612
8,202,0,100,0.3999999999999999,0.15,62.12,65.22998271333506
9,203,0,100,0.4499999999999999,0.15,87.38,66.85414796936406
10,204,0,14,0.4999999999999999,0.15,203.14285714285717,116.93644213477523
11,205,0,14,0.5499999999999999,0.15,189.57142857142856,122.10474507811844
12,206,0,48,0.6,0.15,102.0,97.23351991950112
13,207,1,100,0.0,0.15,50.26,0.0
14,208,1,100,0.0499999999999999,0.15,107.04,7.761619853618373
15,209,1,100,0.0999999999999999,0.15,105.36,19.455275388601788
16,210,1,100,0.15,0.15,96.82,25.03498141665292
17,211,1,100,0.1999999999999999,0.15,94.7,38.594187250609984
18,212,1,100,0.2499999999999999,0.15,96.3,25.040121335478293
19,213,1,100,0.3,0.15,93.92,42.46663793064505
20,214,1,100,0.35,0.15,94.28,55.12664715760021
21,215,1,100,0.3999999999999999,0.15,88.78,69.40851507805581
22,216,1,13,0.4499999999999999,0.15,211.15384615384616,114.12509961738913
23,217,1,71,0.4999999999999999,0.15,83.98,76.15131699167722
24,218,1,100,0.5499999999999999,0.15,79.96,66.27862591362398
25,219,1,15,0.6,0.15,183.46666666666667,134.5091473381631
26,220,2,100,0.0,0.15,44.4,0.0
27,221,2,100,0.0499999999999999,0.15,109.46,10.167287668530546
28,222,2,100,0.0999999999999999,0.15,99.98,16.146595409797104
29,223,2,100,0.15,0.15,96.82,16.43787463350096
30,224,2,100,0.1999999999999999,0.15,89.78,37.46567043986481
31,225,2,100,0.2499999999999999,0.15,77.2,43.689540103846106
32,226,2,100,0.3,0.15,73.8,49.14126716149658
33,227,2,100,0.35,0.15,89.28,60.13631945594174
34,228,2,13,0.4499999999999999,0.15,212.7692307692308,120.18095666565311
35,229,2,100,0.3999999999999999,0.15,82.4,67.65495577803372
36,230,2,53,0.4999999999999999,0.15,86.06,76.56306309054285
37,231,2,13,0.5499999999999999,0.15,213.7692307692308,123.59662688400248
38,232,2,12,0.6,0.15,221.91666666666663,129.53486197087875
39,233,3,100,0.0,0.15,43.16,0.0
40,234,3,100,0.0499999999999999,0.15,107.14,9.799077418101618
41,235,3,100,0.0999999999999999,0.15,103.22,17.30455003607458
42,236,3,100,0.15,0.15,99.04,29.924932588419463
43,237,3,100,0.1999999999999999,0.15,89.3,34.84947977937057
44,238,3,100,0.2499999999999999,0.15,96.76,49.15911683480003
45,239,3,100,0.3,0.15,87.38,69.31043698303345
